_website,created_in,email,firstname,lastname,_address_firstname,_address_lastname,street,city,telephone,region,postcode,country_id,_address_default_billing_,_address_default_shipping_,group_id,created_at,updated_at
base,Default Store View,Louisa.Robertson@thelumastory.com,Louisa,Robertson,Louisa,Robertson,1314 Ferno River,Coefeni,555-555-5555,VT,85376,US,1,1,3,10/3/15 21:42,10/3/15 21:42
base,Default Store View,Mabel.Harvey@thelumastory.com,Mabel,Harvey,Mabel,Harvey,920 Wuep Loop,Nosobto,555-555-5555,LA,13246,US,1,1,2,11/2/15 21:14,11/2/15 21:14
base,Default Store View,Gilbert.Baker@thelumastory.com,Gilbert,Baker,Gilbert,Baker,1720 Varpo Loop,Jikiffop,555-555-5555,RI,72808,US,1,1,2,11/3/15 22:03,11/3/15 22:03
base,Default Store View,Martha.Colon@thelumastory.com,Martha,Colon,Martha,Colon,1473 Uvco Terrace,Cebfokagi,555-555-5555,NC,64746,US,1,1,2,11/10/15 8:30,11/10/15 8:30
base,Default Store View,Leo.Rice@thelumastory.com,Leo,Rice,Leo,Rice,1903 Rodze Highway,Golkoew,555-555-5555,NY,66838,US,1,1,1,11/24/15 23:22,11/24/15 23:22
base,Default Store View,Peter.Medina@thelumastory.com,Peter,Medina,Peter,Medina,924 Rigve Junction,Cigmeko,555-555-5555,TX,69585,US,1,1,2,11/29/15 19:14,11/29/15 19:14
base,Default Store View,Herman.Castro@thelumastory.com,Herman,Castro,Herman,Castro,1484 Semazu Square,Zimifhol,555-555-5555,WV,6280,US,1,1,3,12/1/15 13:43,12/1/15 13:43
base,Default Store View,Julian.Spencer@thelumastory.com,Julian,Spencer,Julian,Spencer,764 Sajuz Circle,Ronsione,555-555-5555,NC,29647,US,1,1,3,12/2/15 1:36,12/2/15 1:36
base,Default Store View,Clara.Nunez@thelumastory.com,Clara,Nunez,Clara,Nunez,1581 Fodbo Loop,Tocurcud,555-555-5555,NM,57720,US,1,1,1,12/5/15 0:53,12/5/15 0:53
base,Default Store View,Gilbert.Flores@thelumastory.com,Gilbert,Flores,Gilbert,Flores,1245 Pofem Square,Moizcac,555-555-5555,IN,88254,US,1,1,1,12/8/15 10:57,12/8/15 10:57
base,Default Store View,Alberta.Poole@thelumastory.com,Alberta,Poole,Alberta,Poole,71 Nokjo Junction,Futocaru,555-555-5555,DE,55070,US,1,1,1,1/2/16 13:46,1/2/16 13:46
base,Default Store View,Alta.Jensen@thelumastory.com,Alta,Jensen,Alta,Jensen,176 Fakipi Center,Nerbezo,555-555-5555,IN,97138,US,1,1,1,1/3/16 9:06,1/3/16 9:06
base,Default Store View,Betty.Weaver@thelumastory.com,Betty,Weaver,Betty,Weaver,1848 Jilri Parkway,Unacatpil,555-555-5555,UT,67216,US,1,1,1,1/6/16 20:49,1/6/16 20:49
base,Default Store View,Millie.Perkins@thelumastory.com,Millie,Perkins,Millie,Perkins,21 Tueju Circle,Rizowo,555-555-5555,AZ,28555,US,1,1,3,1/7/16 0:56,1/7/16 0:56
base,Default Store View,Elmer.Torres@thelumastory.com,Elmer,Torres,Elmer,Torres,1412 Pimav Street,Bokohona,555-555-5555,UT,11556,US,1,1,1,1/12/16 19:26,1/12/16 19:26
base,Default Store View,Dale.Barnett@thelumastory.com,Dale,Barnett,Dale,Barnett,513 Mawev Point,Oseebebe,555-555-5555,ND,90676,US,1,1,3,1/16/16 10:06,1/16/16 10:06
base,Default Store View,Jose.Bishop@thelumastory.com,Jose,Bishop,Jose,Bishop,708 Goju Glen,Viosed,555-555-5555,OR,43576,US,1,1,3,1/18/16 7:18,1/18/16 7:18
base,Default Store View,Adam.Freeman@thelumastory.com,Adam,Freeman,Adam,Freeman,1996 Utawu Grove,Balinla,555-555-5555,CT,40442,US,1,1,3,1/21/16 20:03,1/21/16 20:03
base,Default Store View,Lulu.Moody@thelumastory.com,Lulu,Moody,Lulu,Moody,1635 Astuv Path,Fejrozi,555-555-5555,KS,7557,US,1,1,3,1/28/16 2:17,1/28/16 2:17
base,Default Store View,Florence.Ellis@thelumastory.com,Florence,Ellis,Florence,Ellis,1500 Ucoko Drive,Uzosuka,555-555-5555,ND,1207,US,1,1,3,1/28/16 19:01,1/28/16 19:01
base,Default Store View,Caleb.Mann@thelumastory.com,Caleb,Mann,Caleb,Mann,1890 Okgi Place,Licive,555-555-5555,SD,3881,US,1,1,2,1/29/16 13:40,1/29/16 13:40
base,Default Store View,Gussie.Carroll@thelumastory.com,Gussie,Carroll,Gussie,Carroll,1277 Darup Junction,Vulona,555-555-5555,WA,64540,US,1,1,2,1/31/16 0:17,1/31/16 0:17
base,Default Store View,Richard.Kelley@thelumastory.com,Richard,Kelley,Richard,Kelley,1081 Kuehu Glen,Gegiwpa,555-555-5555,OK,98087,US,1,1,2,2/2/16 11:49,2/2/16 11:49
base,Default Store View,Cory.Keller@thelumastory.com,Cory,Keller,Cory,Keller,1068 Puve View,Ewemolmi,555-555-5555,NJ,19431,US,1,1,3,2/7/16 16:31,2/7/16 16:31
base,Default Store View,Georgia.Wells@thelumastory.com,Georgia,Wells,Georgia,Wells,1229 Hevvu Junction,Zidejna,555-555-5555,KY,84197,US,1,1,2,2/8/16 15:52,2/8/16 15:52
base,Default Store View,Samuel.McLaughlin@thelumastory.com,Samuel,McLaughlin,Samuel,McLaughlin,1662 Osbi Street,Ujalikzi,555-555-5555,NJ,22166,US,1,1,1,2/10/16 18:29,2/10/16 18:29
base,Default Store View,Jeanette.Lawrence@thelumastory.com,Jeanette,Lawrence,Jeanette,Lawrence,1961 Anuir Drive,Mehume,555-555-5555,WI,22404,US,1,1,2,2/11/16 21:23,2/11/16 21:23
base,Default Store View,Angel.Sherman@thelumastory.com,Angel,Sherman,Angel,Sherman,128 Tadto Pass,Fudial,555-555-5555,VT,63194,US,1,1,3,2/14/16 0:51,2/14/16 0:51
base,Default Store View,Herbert.Webster@thelumastory.com,Herbert,Webster,Herbert,Webster,1514 Buvop Circle,Jibare,555-555-5555,NM,85323,US,1,1,2,2/14/16 16:40,2/14/16 16:40
base,Default Store View,Pauline.Marshall@thelumastory.com,Pauline,Marshall,Pauline,Marshall,612 Usemo Square,Agokuhto,555-555-5555,WV,77848,US,1,1,3,2/15/16 9:31,2/15/16 9:31
base,Default Store View,Laura.Roberson@thelumastory.com,Laura,Roberson,Laura,Roberson,1674 Jawej Loop,Tonedof,555-555-5555,LA,94276,US,1,1,3,2/16/16 22:32,2/16/16 22:32
base,Default Store View,Lily.Newton@thelumastory.com,Lily,Newton,Lily,Newton,1442 Sadel Path,Nohguktu,555-555-5555,GA,86707,US,1,1,3,2/20/16 5:53,2/20/16 5:53
base,Default Store View,Franklin.Craig@thelumastory.com,Franklin,Craig,Franklin,Craig,647 Marvuc Extension,Onimeki,555-555-5555,PA,36631,US,1,1,3,2/21/16 18:00,2/21/16 18:00
