"entity_id","state","status","shipping_description","store_id","customer_id","base_discount_amount","base_grand_total","base_subtotal","base_subtotal_invoiced","base_to_global_rate","base_total_invoiced","base_total_paid","grand_total","subtotal","subtotal_invoiced","total_invoiced","total_paid","total_qty_ordered","base_subtotal_incl_tax","base_total_due","subtotal_incl_tax","total_due","customer_email","customer_firstname","customer_lastname","shipping_method","store_name","created_at","updated_at","total_item_count","increment_id"
1000,"complete","complete","Flat Rate - Fixed",1,311,0,984.00,984.00,984.00,1,984.00,984.00,984.00,984.00,984.00,984.00,984.00,3,984.00,984.00,984.00,984.00,"Lizzie.Pierce@thelumastory.com","Lizzie","Pierce","flatrate_flatrate","Main","2013-10-18 13:04:39","2013-10-18 13:04:39",3,"000001000"
1001,"complete","complete","Flat Rate - Fixed",1,306,0,620.00,620.00,620.00,1,620.00,620.00,620.00,620.00,620.00,620.00,620.00,1,620.00,620.00,620.00,620.00,"Rosie.Powers@thelumastory.com","Rosie","Powers","flatrate_flatrate","Main","2013-10-27 13:04:39","2013-10-27 13:04:39",1,"000001001"
1002,"complete","complete","Flat Rate - Fixed",1,373,0,186.00,186.00,186.00,1,186.00,186.00,186.00,186.00,186.00,186.00,186.00,3,186.00,186.00,186.00,186.00,"Tyler.Morton@thelumastory.com","Tyler","Morton","flatrate_flatrate","Main","2013-11-04 14:04:39","2013-11-04 14:04:39",3,"000001002"
1003,"complete","complete","Flat Rate - Fixed",1,167,0,249.00,249.00,249.00,1,249.00,249.00,249.00,249.00,249.00,249.00,249.00,3,249.00,249.00,249.00,249.00,"Julian.Chapman@thelumastory.com","Julian","Chapman","flatrate_flatrate","Main","2013-11-19 14:04:39","2013-11-19 14:04:39",3,"000001003"
1004,"complete","complete","Flat Rate - Fixed",1,108,0,423.00,423.00,423.00,1,423.00,423.00,423.00,423.00,423.00,423.00,423.00,2,423.00,423.00,423.00,423.00,"Danny.Singleton@thelumastory.com","Danny","Singleton","flatrate_flatrate","Main","2013-11-21 14:04:39","2013-11-21 14:04:39",2,"000001004"
1005,"complete","complete","Flat Rate - Fixed",1,145,0,267.00,267.00,267.00,1,267.00,267.00,267.00,267.00,267.00,267.00,267.00,1,267.00,267.00,267.00,267.00,"Millie.Phillips@thelumastory.com","Millie","Phillips","flatrate_flatrate","Main","2013-11-22 14:04:39","2013-11-22 14:04:39",1,"000001005"
1006,"complete","complete","Flat Rate - Fixed",1,392,0,298.00,298.00,298.00,1,298.00,298.00,298.00,298.00,298.00,298.00,298.00,3,298.00,298.00,298.00,298.00,"Winifred.Estrada@thelumastory.com","Winifred","Estrada","flatrate_flatrate","Main","2013-12-03 14:04:39","2013-12-03 14:04:39",3,"000001006"
1007,"complete","complete","Flat Rate - Fixed",1,192,0,608.00,608.00,608.00,1,608.00,608.00,608.00,608.00,608.00,608.00,608.00,4,608.00,608.00,608.00,608.00,"Frederick.Warren@thelumastory.com","Frederick","Warren","flatrate_flatrate","Main","2013-12-05 14:04:39","2013-12-05 14:04:39",4,"000001007"
1008,"complete","complete","Flat Rate - Fixed",1,188,0,342.00,342.00,342.00,1,342.00,342.00,342.00,342.00,342.00,342.00,342.00,4,342.00,342.00,342.00,342.00,"Jerry.George@thelumastory.com","Jerry","George","flatrate_flatrate","Main","2013-12-06 14:04:39","2013-12-06 14:04:39",4,"000001008"
1009,"complete","complete","Flat Rate - Fixed",1,187,0,471.00,471.00,471.00,1,471.00,471.00,471.00,471.00,471.00,471.00,471.00,3,471.00,471.00,471.00,471.00,"Sean.Wilkerson@thelumastory.com","Sean","Wilkerson","flatrate_flatrate","Main","2014-01-17 14:04:39","2014-01-17 14:04:39",3,"000001009"
1010,"complete","complete","Flat Rate - Fixed",1,324,0,514.00,514.00,514.00,1,514.00,514.00,514.00,514.00,514.00,514.00,514.00,2,514.00,514.00,514.00,514.00,"Abbie.Hart@thelumastory.com","Abbie","Hart","flatrate_flatrate","Main","2014-01-17 14:04:39","2014-01-17 14:04:39",2,"000001010"
1011,"complete","complete","Flat Rate - Fixed",1,384,0,356.00,356.00,356.00,1,356.00,356.00,356.00,356.00,356.00,356.00,356.00,1,356.00,356.00,356.00,356.00,"Hunter.Adams@thelumastory.com","Hunter","Adams","flatrate_flatrate","Main","2014-01-20 14:04:39","2014-01-20 14:04:39",1,"000001011"
1012,"complete","complete","Flat Rate - Fixed",1,148,0,491.00,491.00,491.00,1,491.00,491.00,491.00,491.00,491.00,491.00,491.00,3,491.00,491.00,491.00,491.00,"Victoria.Walters@thelumastory.com","Victoria","Walters","flatrate_flatrate","Main","2014-01-26 14:04:39","2014-01-26 14:04:39",3,"000001012"
1013,"complete","complete","Flat Rate - Fixed",1,197,0,1054.00,1054.00,1054.00,1,1054.00,1054.00,1054.00,1054.00,1054.00,1054.00,1054.00,3,1054.00,1054.00,1054.00,1054.00,"Carrie.Roberts@thelumastory.com","Carrie","Roberts","flatrate_flatrate","Main","2014-01-26 14:04:39","2014-01-26 14:04:39",3,"000001013"
1014,"complete","complete","Flat Rate - Fixed",1,333,0,547.00,547.00,547.00,1,547.00,547.00,547.00,547.00,547.00,547.00,547.00,1,547.00,547.00,547.00,547.00,"Philip.Santiago@thelumastory.com","Philip","Santiago","flatrate_flatrate","Main","2014-02-01 14:04:39","2014-02-01 14:04:39",1,"000001014"
1015,"complete","complete","Flat Rate - Fixed",1,346,0,670.00,670.00,670.00,1,670.00,670.00,670.00,670.00,670.00,670.00,670.00,2,670.00,670.00,670.00,670.00,"Georgie.Bowers@thelumastory.com","Georgie","Bowers","flatrate_flatrate","Main","2014-02-04 14:04:39","2014-02-04 14:04:39",2,"000001015"
1016,"complete","complete","Flat Rate - Fixed",1,270,0,516.00,516.00,516.00,1,516.00,516.00,516.00,516.00,516.00,516.00,516.00,4,516.00,516.00,516.00,516.00,"Bettie.Schneider@thelumastory.com","Bettie","Schneider","flatrate_flatrate","Main","2014-02-08 14:04:39","2014-02-08 14:04:39",4,"000001016"
1017,"complete","complete","Flat Rate - Fixed",1,110,0,242.00,242.00,242.00,1,242.00,242.00,242.00,242.00,242.00,242.00,242.00,2,242.00,242.00,242.00,242.00,"Patrick.Mack@thelumastory.com","Patrick","Mack","flatrate_flatrate","Main","2014-02-09 14:04:39","2014-02-09 14:04:39",2,"000001017"
1018,"complete","complete","Flat Rate - Fixed",1,380,0,540.00,540.00,540.00,1,540.00,540.00,540.00,540.00,540.00,540.00,540.00,2,540.00,540.00,540.00,540.00,"Estella.Lawrence@thelumastory.com","Estella","Lawrence","flatrate_flatrate","Main","2014-02-11 14:04:39","2014-02-11 14:04:39",2,"000001018"
1020,"complete","complete","Flat Rate - Fixed",1,103,0,254.00,254.00,254.00,1,254.00,254.00,254.00,254.00,254.00,254.00,254.00,1,254.00,254.00,254.00,254.00,"Dean.Gonzalez@thelumastory.com","Dean","Gonzalez","flatrate_flatrate","Main","2014-02-13 14:04:39","2014-02-13 14:04:39",1,"000001020"
1019,"complete","complete","Flat Rate - Fixed",1,394,0,496.00,496.00,496.00,1,496.00,496.00,496.00,496.00,496.00,496.00,496.00,3,496.00,496.00,496.00,496.00,"Bernice.Ellis@thelumastory.com","Bernice","Ellis","flatrate_flatrate","Main","2014-02-13 14:04:39","2014-02-13 14:04:39",3,"000001019"
1021,"complete","complete","Flat Rate - Fixed",1,368,0,392.00,392.00,392.00,1,392.00,392.00,392.00,392.00,392.00,392.00,392.00,1,392.00,392.00,392.00,392.00,"Bessie.Anderson@thelumastory.com","Bessie","Anderson","flatrate_flatrate","Main","2014-02-21 14:04:39","2014-02-21 14:04:39",1,"000001021"
1022,"complete","complete","Flat Rate - Fixed",1,195,0,669.00,669.00,669.00,1,669.00,669.00,669.00,669.00,669.00,669.00,669.00,1,669.00,669.00,669.00,669.00,"Julian.Spencer@thelumastory.com","Julian","Spencer","flatrate_flatrate","Main","2014-02-24 14:04:39","2014-02-24 14:04:39",1,"000001022"
1023,"complete","complete","Flat Rate - Fixed",1,168,0,288.00,288.00,288.00,1,288.00,288.00,288.00,288.00,288.00,288.00,288.00,4,288.00,288.00,288.00,288.00,"Philip.Rios@thelumastory.com","Philip","Rios","flatrate_flatrate","Main","2014-02-27 14:04:39","2014-02-27 14:04:39",4,"000001023"
1024,"complete","complete","Flat Rate - Fixed",1,317,0,334.00,334.00,334.00,1,334.00,334.00,334.00,334.00,334.00,334.00,334.00,3,334.00,334.00,334.00,334.00,"Violet.Watson@thelumastory.com","Violet","Watson","flatrate_flatrate","Main","2014-02-28 14:04:39","2014-02-28 14:04:39",3,"000001024"
1025,"complete","complete","Flat Rate - Fixed",1,386,0,611.00,611.00,611.00,1,611.00,611.00,611.00,611.00,611.00,611.00,611.00,1,611.00,611.00,611.00,611.00,"Samuel.Holt@thelumastory.com","Samuel","Holt","flatrate_flatrate","Main","2014-03-01 14:04:39","2014-03-01 14:04:39",1,"000001025"
1026,"complete","complete","Flat Rate - Fixed",1,234,0,387.00,387.00,387.00,1,387.00,387.00,387.00,387.00,387.00,387.00,387.00,3,387.00,387.00,387.00,387.00,"Eugene.Perez@thelumastory.com","Eugene","Perez","flatrate_flatrate","Main","2014-03-08 14:04:39","2014-03-08 14:04:39",3,"000001026"
1027,"complete","complete","Flat Rate - Fixed",1,183,0,877.00,877.00,877.00,1,877.00,877.00,877.00,877.00,877.00,877.00,877.00,1,877.00,877.00,877.00,877.00,"Mable.Terry@thelumastory.com","Mable","Terry","flatrate_flatrate","Main","2014-03-10 13:04:39","2014-03-10 13:04:39",1,"000001027"
1028,"complete","complete","Flat Rate - Fixed",1,387,0,463.00,463.00,463.00,1,463.00,463.00,463.00,463.00,463.00,463.00,463.00,4,463.00,463.00,463.00,463.00,"Terry.Neal@thelumastory.com","Terry","Neal","flatrate_flatrate","Main","2014-03-11 13:04:39","2014-03-11 13:04:39",4,"000001028"
1029,"complete","complete","Flat Rate - Fixed",1,172,0,558.00,558.00,558.00,1,558.00,558.00,558.00,558.00,558.00,558.00,558.00,3,558.00,558.00,558.00,558.00,"Birdie.Mendez@thelumastory.com","Birdie","Mendez","flatrate_flatrate","Main","2014-03-11 13:04:39","2014-03-11 13:04:39",3,"000001029"
1030,"complete","complete","Flat Rate - Fixed",1,150,0,324.00,324.00,324.00,1,324.00,324.00,324.00,324.00,324.00,324.00,324.00,2,324.00,324.00,324.00,324.00,"Louisa.Robertson@thelumastory.com","Louisa","Robertson","flatrate_flatrate","Main","2014-03-15 13:04:39","2014-03-15 13:04:39",2,"000001030"
1031,"complete","complete","Flat Rate - Fixed",1,119,0,482.00,482.00,482.00,1,482.00,482.00,482.00,482.00,482.00,482.00,482.00,2,482.00,482.00,482.00,482.00,"Richard.Kelley@thelumastory.com","Richard","Kelley","flatrate_flatrate","Main","2014-03-21 13:04:39","2014-03-21 13:04:39",2,"000001031"
1032,"complete","complete","Flat Rate - Fixed",1,112,0,784.00,784.00,784.00,1,784.00,784.00,784.00,784.00,784.00,784.00,784.00,3,784.00,784.00,784.00,784.00,"Inez.Barrett@thelumastory.com","Inez","Barrett","flatrate_flatrate","Main","2014-03-22 13:04:39","2014-03-22 13:04:39",3,"000001032"
1033,"complete","complete","Flat Rate - Fixed",1,151,0,348.00,348.00,348.00,1,348.00,348.00,348.00,348.00,348.00,348.00,348.00,2,348.00,348.00,348.00,348.00,"Corey.Klein@thelumastory.com","Corey","Klein","flatrate_flatrate","Main","2014-03-22 13:04:39","2014-03-22 13:04:39",2,"000001033"
1034,"complete","complete","Flat Rate - Fixed",1,188,0,166.00,166.00,166.00,1,166.00,166.00,166.00,166.00,166.00,166.00,166.00,2,166.00,166.00,166.00,166.00,"Jerry.George@thelumastory.com","Jerry","George","flatrate_flatrate","Main","2014-03-23 13:04:39","2014-03-23 13:04:39",2,"000001034"
1036,"complete","complete","Flat Rate - Fixed",1,388,0,498.00,498.00,498.00,1,498.00,498.00,498.00,498.00,498.00,498.00,498.00,3,498.00,498.00,498.00,498.00,"Travis.Wallace@thelumastory.com","Travis","Wallace","flatrate_flatrate","Main","2014-03-25 13:04:39","2014-03-25 13:04:39",3,"000001036"
1035,"complete","complete","Flat Rate - Fixed",1,379,0,570.00,570.00,570.00,1,570.00,570.00,570.00,570.00,570.00,570.00,570.00,4,570.00,570.00,570.00,570.00,"Adrian.Walker@thelumastory.com","Adrian","Walker","flatrate_flatrate","Main","2014-03-25 13:04:39","2014-03-25 13:04:39",4,"000001035"
1037,"complete","complete","Flat Rate - Fixed",1,361,0,480.00,480.00,480.00,1,480.00,480.00,480.00,480.00,480.00,480.00,480.00,2,480.00,480.00,480.00,480.00,"Kate.Atkins@thelumastory.com","Kate","Atkins","flatrate_flatrate","Main","2014-03-25 13:04:39","2014-03-25 13:04:39",2,"000001037"
1038,"complete","complete","Flat Rate - Fixed",1,242,0,246.00,246.00,246.00,1,246.00,246.00,246.00,246.00,246.00,246.00,246.00,1,246.00,246.00,246.00,246.00,"Sally.Long@thelumastory.com","Sally","Long","flatrate_flatrate","Main","2014-03-29 13:04:39","2014-03-29 13:04:39",1,"000001038"
1039,"complete","complete","Flat Rate - Fixed",1,239,0,552.00,552.00,552.00,1,552.00,552.00,552.00,552.00,552.00,552.00,552.00,4,552.00,552.00,552.00,552.00,"Sarah.Ballard@thelumastory.com","Sarah","Ballard","flatrate_flatrate","Main","2014-03-31 13:04:39","2014-03-31 13:04:39",4,"000001039"
1040,"complete","complete","Flat Rate - Fixed",1,400,0,647.00,647.00,647.00,1,647.00,647.00,647.00,647.00,647.00,647.00,647.00,1,647.00,647.00,647.00,647.00,"Katie.Floyd@thelumastory.com","Katie","Floyd","flatrate_flatrate","Main","2014-04-01 13:04:39","2014-04-01 13:04:39",1,"000001040"
1042,"complete","complete","Flat Rate - Fixed",1,204,0,726.00,726.00,726.00,1,726.00,726.00,726.00,726.00,726.00,726.00,726.00,4,726.00,726.00,726.00,726.00,"Clara.Nunez@thelumastory.com","Clara","Nunez","flatrate_flatrate","Main","2014-04-06 13:04:39","2014-04-06 13:04:39",4,"000001042"
1041,"complete","complete","Flat Rate - Fixed",1,176,0,446.00,446.00,446.00,1,446.00,446.00,446.00,446.00,446.00,446.00,446.00,1,446.00,446.00,446.00,446.00,"Gavin.Freeman@thelumastory.com","Gavin","Freeman","flatrate_flatrate","Main","2014-04-06 13:04:39","2014-04-06 13:04:39",1,"000001041"
1043,"complete","complete","Flat Rate - Fixed",1,300,0,456.00,456.00,456.00,1,456.00,456.00,456.00,456.00,456.00,456.00,456.00,1,456.00,456.00,456.00,456.00,"Logan.Floyd@thelumastory.com","Logan","Floyd","flatrate_flatrate","Main","2014-04-06 13:04:39","2014-04-06 13:04:39",1,"000001043"
1044,"complete","complete","Flat Rate - Fixed",1,351,0,551.00,551.00,551.00,1,551.00,551.00,551.00,551.00,551.00,551.00,551.00,1,551.00,551.00,551.00,551.00,"Irene.Medina@thelumastory.com","Irene","Medina","flatrate_flatrate","Main","2014-04-07 13:04:39","2014-04-07 13:04:39",1,"000001044"
