"entity_id","status","store_id","store_name","customer_id","base_grand_total","base_total_paid","grand_total","total_paid","increment_id","base_currency_code","order_currency_code","shipping_name","billing_name","created_at","updated_at","billing_address","shipping_address","shipping_information","customer_email","customer_group","subtotal","shipping_and_handling","customer_name","payment_method"
1000,"complete",1,"Main Website
Main Website Store
",311,984.00,984.00,984.00,984.00,"000001000","USD","USD","Lizzie Pierce","Lizzie Pierce","2013-10-18 13:04:39","2013-10-18 13:04:39","884 Hivpav Lane Faifaven, OR 84720","884 Hivpav Lane Faifaven, OR 84720","Flat Rate - Fixed","Lizzie.Pierce@thelumastory.com",3,984.00,3.99,"Lizzie Pierce","checkmo"
1001,"complete",1,"Main Website
Main Website Store
",306,620.00,620.00,620.00,620.00,"000001001","USD","USD","Rosie Powers","Rosie Powers","2013-10-27 13:04:39","2013-10-27 13:04:39","371 Asailo Road Jiwosa, CT 62375","371 Asailo Road Jiwosa, CT 62375","Flat Rate - Fixed","Rosie.Powers@thelumastory.com",1,620.00,1.99,"Rosie Powers","checkmo"
1002,"complete",1,"Main Website
Main Website Store
",373,186.00,186.00,186.00,186.00,"000001002","USD","USD","Tyler Morton","Tyler Morton","2013-11-04 14:04:39","2013-11-04 14:04:39","1268 Uzene Court Iklijre, MT 84656","1268 Uzene Court Iklijre, MT 84656","Flat Rate - Fixed","Tyler.Morton@thelumastory.com",4,186.00,6.99,"Tyler Morton","checkmo"
1003,"complete",1,"Main Website
Main Website Store
",167,249.00,249.00,249.00,249.00,"000001003","USD","USD","Julian Chapman","Julian Chapman","2013-11-19 14:04:39","2013-11-19 14:04:39","1119 Puge Place Lohvemewe, DC 60263","1119 Puge Place Lohvemewe, DC 60263","Flat Rate - Fixed","Julian.Chapman@thelumastory.com",1,249.00,3.99,"Julian Chapman","checkmo"
1004,"complete",1,"Main Website
Main Website Store
",108,423.00,423.00,423.00,423.00,"000001004","USD","USD","Danny Singleton","Danny Singleton","2013-11-21 14:04:39","2013-11-21 14:04:39","1988 Necu Circle Gikelij, DC 84143","1988 Necu Circle Gikelij, DC 84143","Flat Rate - Fixed","Danny.Singleton@thelumastory.com",1,423.00,6.99,"Danny Singleton","checkmo"
1005,"complete",1,"Main Website
Main Website Store
",145,267.00,267.00,267.00,267.00,"000001005","USD","USD","Millie Phillips","Millie Phillips","2013-11-22 14:04:39","2013-11-22 14:04:39","1108 Hatosa Pike Gorhirgik, MD 07724","1108 Hatosa Pike Gorhirgik, MD 07724","Flat Rate - Fixed","Millie.Phillips@thelumastory.com",3,267.00,6.99,"Millie Phillips","checkmo"
1006,"complete",1,"Main Website
Main Website Store
",392,298.00,298.00,298.00,298.00,"000001006","USD","USD","Winifred Estrada","Winifred Estrada","2013-12-03 14:04:39","2013-12-03 14:04:39","1501 Fiaz Path Potopnog, MT 71029","1501 Fiaz Path Potopnog, MT 71029","Flat Rate - Fixed","Winifred.Estrada@thelumastory.com",4,298.00,6.99,"Winifred Estrada","checkmo"
1007,"complete",1,"Main Website
Main Website Store
",192,608.00,608.00,608.00,608.00,"000001007","USD","USD","Frederick Warren","Frederick Warren","2013-12-05 14:04:39","2013-12-05 14:04:39","681 Mohab Drive Imnuwih, MS 08641","681 Mohab Drive Imnuwih, MS 08641","Flat Rate - Fixed","Frederick.Warren@thelumastory.com",4,608.00,6.99,"Frederick Warren","checkmo"
1008,"complete",1,"Main Website
Main Website Store
",188,342.00,342.00,342.00,342.00,"000001008","USD","USD","Jerry George","Jerry George","2013-12-06 14:04:39","2013-12-06 14:04:39","713 Ruztej Boulevard Ruanji, OR 06181","713 Ruztej Boulevard Ruanji, OR 06181","Flat Rate - Fixed","Jerry.George@thelumastory.com",1,342.00,3.99,"Jerry George","checkmo"
1009,"complete",1,"Main Website
Main Website Store
",187,471.00,471.00,471.00,471.00,"000001009","USD","USD","Sean Wilkerson","Sean Wilkerson","2014-01-17 14:04:39","2014-01-17 14:04:39","1043 Apita Place Zaicufif, WA 83010","1043 Apita Place Zaicufif, WA 83010","Flat Rate - Fixed","Sean.Wilkerson@thelumastory.com",1,471.00,1.99,"Sean Wilkerson","checkmo"
